2025-04-24 09:20:15,054 - INFO - Logger started. File path: ../logs/Filtering_20250424_092015.log
2025-04-24 09:20:15,982 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 2.05
2025-04-24 09:20:15,982 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:20:15,982 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-24 09:20:15,982 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 3.05
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:20:15,984 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
