NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,-0.01,306,IPCA dessazonalizado - Variação mensal,201909,setembro 2019,1,Brasil
1,Brasil,2,%,0.07,306,IPCA dessazonalizado - Variação mensal,201910,outubro 2019,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,201911,novembro 2019,1,Brasil
1,Brasil,2,%,1.09,306,IPCA dessazonalizado - Variação mensal,201912,dezembro 2019,1,Brasil
1,Brasil,2,%,0.15,306,IPCA dessazonalizado - Variação mensal,202001,janeiro 2020,1,Brasil
1,Brasil,2,%,0.26,306,IPCA dessazonalizado - Variação mensal,202002,fevereiro 2020,1,Brasil
1,Brasil,2,%,0.01,306,IPCA dessazonalizado - Variação mensal,202003,março 2020,1,Brasil
1,Brasil,2,%,-0.35,306,IPCA dessazonalizado - Variação mensal,202004,abril 2020,1,Brasil
1,Brasil,2,%,-0.36,306,IPCA dessazonalizado - Variação mensal,202005,maio 2020,1,Brasil
1,Brasil,2,%,0.31,306,IPCA dessazonalizado - Variação mensal,202006,junho 2020,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,202007,julho 2020,1,Brasil
1,Brasil,2,%,0.32,306,IPCA dessazonalizado - Variação mensal,202008,agosto 2020,1,Brasil
1,Brasil,2,%,0.69,306,IPCA dessazonalizado - Variação mensal,202009,setembro 2020,1,Brasil
1,Brasil,2,%,0.85,306,IPCA dessazonalizado - Variação mensal,202010,outubro 2020,1,Brasil
1,Brasil,2,%,0.84,306,IPCA dessazonalizado - Variação mensal,202011,novembro 2020,1,Brasil
1,Brasil,2,%,1.27,306,IPCA dessazonalizado - Variação mensal,202012,dezembro 2020,1,Brasil
1,Brasil,2,%,0.18,306,IPCA dessazonalizado - Variação mensal,202101,janeiro 2021,1,Brasil
1,Brasil,2,%,0.88,306,IPCA dessazonalizado - Variação mensal,202102,fevereiro 2021,1,Brasil
1,Brasil,2,%,0.89,306,IPCA dessazonalizado - Variação mensal,202103,março 2021,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,202104,abril 2021,1,Brasil
1,Brasil,2,%,0.88,306,IPCA dessazonalizado - Variação mensal,202105,maio 2021,1,Brasil
1,Brasil,2,%,0.59,306,IPCA dessazonalizado - Variação mensal,202106,junho 2021,1,Brasil
1,Brasil,2,%,1.02,306,IPCA dessazonalizado - Variação mensal,202107,julho 2021,1,Brasil
1,Brasil,2,%,0.94,306,IPCA dessazonalizado - Variação mensal,202108,agosto 2021,1,Brasil
1,Brasil,2,%,1.18,306,IPCA dessazonalizado - Variação mensal,202109,setembro 2021,1,Brasil
1,Brasil,2,%,1.22,306,IPCA dessazonalizado - Variação mensal,202110,outubro 2021,1,Brasil
1,Brasil,2,%,0.87,306,IPCA dessazonalizado - Variação mensal,202111,novembro 2021,1,Brasil
1,Brasil,2,%,0.64,306,IPCA dessazonalizado - Variação mensal,202112,dezembro 2021,1,Brasil
1,Brasil,2,%,0.47,306,IPCA dessazonalizado - Variação mensal,202201,janeiro 2022,1,Brasil
1,Brasil,2,%,1.02,306,IPCA dessazonalizado - Variação mensal,202202,fevereiro 2022,1,Brasil
1,Brasil,2,%,1.54,306,IPCA dessazonalizado - Variação mensal,202203,março 2022,1,Brasil
1,Brasil,2,%,1.03,306,IPCA dessazonalizado - Variação mensal,202204,abril 2022,1,Brasil
1,Brasil,2,%,0.52,306,IPCA dessazonalizado - Variação mensal,202205,maio 2022,1,Brasil
1,Brasil,2,%,0.73,306,IPCA dessazonalizado - Variação mensal,202206,junho 2022,1,Brasil
1,Brasil,2,%,-0.61,306,IPCA dessazonalizado - Variação mensal,202207,julho 2022,1,Brasil
1,Brasil,2,%,-0.30,306,IPCA dessazonalizado - Variação mensal,202208,agosto 2022,1,Brasil
1,Brasil,2,%,-0.23,306,IPCA dessazonalizado - Variação mensal,202209,setembro 2022,1,Brasil
1,Brasil,2,%,0.59,306,IPCA dessazonalizado - Variação mensal,202210,outubro 2022,1,Brasil
1,Brasil,2,%,0.36,306,IPCA dessazonalizado - Variação mensal,202211,novembro 2022,1,Brasil
1,Brasil,2,%,0.53,306,IPCA dessazonalizado - Variação mensal,202212,dezembro 2022,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,202301,janeiro 2023,1,Brasil
1,Brasil,2,%,0.85,306,IPCA dessazonalizado - Variação mensal,202302,fevereiro 2023,1,Brasil
1,Brasil,2,%,0.64,306,IPCA dessazonalizado - Variação mensal,202303,março 2023,1,Brasil
1,Brasil,2,%,0.58,306,IPCA dessazonalizado - Variação mensal,202304,abril 2023,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,202305,maio 2023,1,Brasil
1,Brasil,2,%,-0.02,306,IPCA dessazonalizado - Variação mensal,202306,junho 2023,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,202307,julho 2023,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,202308,agosto 2023,1,Brasil
1,Brasil,2,%,0.31,306,IPCA dessazonalizado - Variação mensal,202309,setembro 2023,1,Brasil
1,Brasil,2,%,0.23,306,IPCA dessazonalizado - Variação mensal,202310,outubro 2023,1,Brasil
1,Brasil,2,%,0.23,306,IPCA dessazonalizado - Variação mensal,202311,novembro 2023,1,Brasil
1,Brasil,2,%,0.49,306,IPCA dessazonalizado - Variação mensal,202312,dezembro 2023,1,Brasil
1,Brasil,2,%,0.32,306,IPCA dessazonalizado - Variação mensal,202401,janeiro 2024,1,Brasil
1,Brasil,2,%,0.82,306,IPCA dessazonalizado - Variação mensal,202402,fevereiro 2024,1,Brasil
1,Brasil,2,%,0.10,306,IPCA dessazonalizado - Variação mensal,202403,março 2024,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,202404,abril 2024,1,Brasil
1,Brasil,2,%,0.49,306,IPCA dessazonalizado - Variação mensal,202405,maio 2024,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,202406,junho 2024,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,202407,julho 2024,1,Brasil
1,Brasil,2,%,0.08,306,IPCA dessazonalizado - Variação mensal,202408,agosto 2024,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,202409,setembro 2024,1,Brasil
1,Brasil,2,%,0.54,306,IPCA dessazonalizado - Variação mensal,202410,outubro 2024,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,202411,novembro 2024,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,202412,dezembro 2024,1,Brasil
1,Brasil,2,%,0.06,306,IPCA dessazonalizado - Variação mensal,202501,janeiro 2025,1,Brasil
1,Brasil,2,%,1.32,306,IPCA dessazonalizado - Variação mensal,202502,fevereiro 2025,1,Brasil
