data,gdp,log_gdp,hp_cycle,hp_trend,bk_cycle,bk_trend,OLS_trend,OLS_cycle,fdiff_cycle,fdiff_trend,ck_cycle,ck_trend
1996-01-01,175460.81,12.075170992108514,-0.02070755319480888,12.095878545303323,,,12.12745107042553,-0.052280078317014755,,,-0.014464285685597655,12.089635277794113
1996-04-01,177538.54,12.086942991089568,-0.013697452320830195,12.100640443410398,,,12.133032540775105,-0.04608954968553647,0.006019249253359887,12.080923741836209,-0.006499463754976675,12.093442454844546
1996-07-01,184099.95,12.123234095629606,0.01784469633287955,12.105389399296726,,,12.138614011124673,-0.015379915495067564,0.030538354812343398,12.092695740817263,0.002456688385221284,12.120777407244384
1996-10-01,182345.29,12.113657366454378,0.0035534566205175366,12.11010390983386,,,12.144256816313252,-0.030599449858874195,-0.015329478902921752,12.1289868453573,0.009824936118685734,12.103832430335693
1997-01-01,184307.51,12.12436089160687,0.009587266778309456,12.11477362482856,,,12.149899621501824,-0.025538729894954315,0.004950775424797654,12.119410116182072,0.014471824591494098,12.109889067015375
1997-04-01,185219.62,12.12929753510786,0.009907120109884815,12.119390414997975,,,12.155419757012389,-0.026122221904529397,-0.0008161062267038671,12.130113641334564,0.01662047003633793,12.112677065071521
1997-07-01,187556.54,12.14183562560321,0.017883482502229597,12.123952143100981,,,12.161001227361965,-0.019165601758754036,0.0067853407676569605,12.135050284835554,0.016884870904660065,12.12495075469855
1997-10-01,189130.31,12.150191527365385,0.021728663518855384,12.12846286384653,,,12.166644032550543,-0.016452505185158728,0.002603152034480188,12.147588375330905,0.015478667352644138,12.13471286001274
1998-01-01,185412.91,12.13034056291507,-0.002597246205063186,12.132937809120133,,,12.172286837739115,-0.04194627482404556,-0.02560371417800906,12.155944277093079,0.012232621419950851,12.118107941495118
1998-04-01,188569.94,12.14722425153669,0.009818460314683364,12.137405791222006,,,12.17780697324968,-0.03058272171299059,0.011130938893926183,12.136093312642764,0.007156183899909352,12.140068067636781
1998-07-01,188512.16,12.146917793073388,0.005023793899900042,12.141893999173488,,,12.183388443599256,-0.0364706505258674,-0.006059208190995208,12.152977001264384,0.0008284374929611871,12.146089355580427
1998-10-01,186346.51,12.135363176532405,-0.01107258200121386,12.146435758533618,,,12.189031248787828,-0.05366807225542303,-0.017307366268677855,12.152670542801083,-0.005734628235756378,12.141097804768162
1999-01-01,186718.37,12.137356717833608,-0.013710816899020983,12.15106753473263,-0.014509988078561815,12.15186670591217,12.194674053976406,-0.057317336142798325,-0.0037592084264904185,12.141115926260099,-0.01143336849846055,12.148790086332069
1999-04-01,187690.54,12.14254982173071,-0.013269051106288288,12.155818872837,-0.018942191806055695,12.161492013536767,12.200194189486972,-0.057644367756260806,-0.000559645830591266,12.143109467561302,-0.015187889435787305,12.157737711166497
1999-07-01,187666.89,12.142423808506296,-0.018286940146358788,12.160710748652654,-0.01951326981566195,12.161937078321957,12.20577565983654,-0.06335185133024446,-0.005878762952109157,12.148302571458405,-0.015817538142760545,12.158241346649056
1999-10-01,190325.77,12.156492461877512,-0.009263382951065324,12.165755844828578,-0.01576475404877067,12.172257215926283,12.211418465025119,-0.05492600314760665,0.008315903643522686,12.14817655823399,-0.012244784520895169,12.168737246398408
2000-01-01,192360.08,12.167124311278391,-0.003831103397766711,12.170955414676158,-0.007587792308436647,12.174712103586828,12.217061270213698,-0.04993695893530692,0.004879099673184611,12.162245211605207,-0.004375769266124596,12.171500080544515
2000-04-01,195079.24,12.181161113978796,0.004856192086363009,12.176304921892433,0.003185405222053856,12.177975708756742,12.222642740563266,-0.04148162658447063,0.00828405297271078,12.172877061006085,0.005870913923569976,12.175290200055226
2000-07-01,197417.66,12.193076864999192,0.011279429264375196,12.181797435734817,0.012429656233032283,12.18064720876616,12.228224210912842,-0.035147345913649986,0.0061630012927022465,12.18691386370649,0.014569974918015038,12.178506890081177
2000-10-01,199837.23,12.205258464174468,0.017829403593694337,12.187429060580774,0.015509179108029514,12.189749285066439,12.233867016101414,-0.028608551926945225,0.006428849447582535,12.198829614726886,0.01753600509977482,12.187722459074694
2001-01-01,200476.25,12.20845106484721,0.015248114396150925,12.19320295045106,0.010726555410479103,12.197724509436732,12.239509821289992,-0.031058756442782,-0.002560149054951894,12.211011213902163,0.013039850748610471,12.1954112140986
2001-04-01,199562.44,12.203882448799403,0.00474904605572668,12.199133402743676,0.0011155753436951816,12.202766873455708,12.245029956800558,-0.04114750800115452,-0.010321365775501308,12.214203814574905,0.003498365110954249,12.20038408368845
2001-07-01,198557.35,12.198833254257513,-0.006410990670609351,12.205244244928123,-0.008182376173123352,12.207015630430636,12.250611427150126,-0.05177817289261277,-0.010801944269583759,12.209635198527097,-0.005534217378792838,12.204367471636306
2001-10-01,197923.06,12.195633648299037,-0.015928624328649832,12.211562272627686,-0.011973263417173443,12.20760691171621,12.256254232338705,-0.0606205840396683,-0.00895235568617065,12.204586003985208,-0.008824869287899495,12.204458517586936
2002-01-01,202851.6,12.220229956205163,0.0021196816086757053,12.218110274596487,-0.008385079882541804,12.228615036087705,12.261897037527284,-0.041667081322120936,0.018843558178432245,12.201386398026731,-0.005061771425924677,12.225291727631088
2002-04-01,203352.54,12.222696402036807,-0.0022046821616328316,12.22490108419844,-0.0010601081949523916,12.223756510231759,12.267417173037849,-0.044720771001042436,-0.003286303896050286,12.225982705932857,0.0021196816977372968,12.22057672033907
2002-07-01,206143.1,12.23632586680118,0.004377007202723604,12.231948859598456,0.0035553066687396117,12.23277056013244,12.272998643387417,-0.03667277658623824,0.007876715036678687,12.2284491517645,0.006624918033405217,12.229700948767775
2002-10-01,208233.24,12.246414076598308,0.007147695563203271,12.239266381035105,0.0011882612457526024,12.245225815352555,12.278641448575996,-0.032227371977688435,0.004335460069434687,12.242078616528874,0.0041976028695898115,12.242216473728718
2003-01-01,207333.52,12.242083983374345,-0.004785181002107564,12.246869164376452,-0.008045143661697531,12.250129127036042,12.284284253764575,-0.04220027039023044,-0.01008284295165713,12.252166826326002,-0.004576739159726839,12.246660722534072
2003-04-01,205620.91,12.233789509726446,-0.020987683073839136,12.254777192800285,-0.019015124799012854,12.252804634525459,12.28980438927514,-0.05601487954869455,-0.014047223375592895,12.247836733102039,-0.014682735081916032,12.248472244808362
2003-07-01,207509.96,12.242934617500927,-0.020072841245349693,12.263007458746277,-0.024894396627461735,12.267829014128388,12.295385859624709,-0.05245124212378194,0.003392358046787108,12.23954225945414,-0.02007056041844424,12.263005177919371
2003-10-01,209655.04,12.253218792376728,-0.018345044975440317,12.271563837352168,-0.022045478314644255,12.275264270691373,12.301028664813288,-0.04780987243655943,0.004531425148107387,12.248687367228621,-0.017514643670893393,12.270733436047621
2004-01-01,212541.66,12.26689329519072,-0.013544363039210694,12.28043765822993,-0.01208479302619292,12.278978088216913,12.306671470001866,-0.03977817481114698,0.007921753086297327,12.258971542104423,-0.008339305255291918,12.275232600446012
2004-04-01,218492.7,12.294507883348684,0.004899098010266556,12.289608785338418,-0.0005686652095423393,12.295076548558226,12.312252940351435,-0.01774505700275064,0.021861838430270834,12.272646044918414,0.002810779050416934,12.291697104298267
2004-07-01,221204.13,12.306841219342093,0.0077926019325111895,12.299048617409582,0.006959082452243929,12.299882136889849,12.317834410701003,-0.010993191358910082,0.006580586265715054,12.300260633076379,0.010913947892099318,12.295927271449994
2004-10-01,222876.34,12.314372367486122,0.005640752374478808,12.308731615111643,0.008065492226163862,12.306306875259958,12.323477215889582,-0.009104848403460153,0.0017783984163348083,12.312593969069788,0.013166691517863649,12.301205675968259
2005-01-01,224829.81,12.323098994971739,0.004461885482701433,12.318637109489037,0.003932209166099085,12.31916678580564,12.329120021078161,-0.006021026106422411,0.002973877757922621,12.320125117213816,0.009886199635845638,12.313212795335893
2005-04-01,227324.52,12.334133879077532,0.005385922021108769,12.328747957056423,-0.0025987847014285683,12.33673266377896,12.334640156588726,-0.000506277511194142,0.005282134378099484,12.328851744699433,0.0037142285272108166,12.330419650550322
