data,valor
2012-01-01,8.0
2012-04-01,7.6
2012-07-01,7.1
2012-10-01,6.9
2013-01-01,8.1
2013-04-01,7.5
2013-07-01,7.0
2013-10-01,6.3
2014-01-01,7.2
2014-04-01,6.9
2014-07-01,6.9
2014-10-01,6.6
2015-01-01,8.0
2015-04-01,8.4
2015-07-01,9.0
2015-10-01,9.1
2016-01-01,11.1
2016-04-01,11.4
2016-07-01,11.9
2016-10-01,12.2
2017-01-01,13.9
2017-04-01,13.1
2017-07-01,12.5
2017-10-01,11.9
2018-01-01,13.2
2018-04-01,12.6
2018-07-01,12.0
2018-10-01,11.7
2019-01-01,12.8
2019-04-01,12.1
2019-07-01,11.9
2019-10-01,11.1
2020-01-01,12.4
2020-04-01,13.6
2020-07-01,14.9
2020-10-01,14.2
2021-01-01,14.9
2021-04-01,14.2
2021-07-01,12.6
2021-10-01,11.1
2022-01-01,11.1
2022-04-01,9.3
2022-07-01,8.7
2022-10-01,7.9
2023-01-01,8.8
2023-04-01,8.0
2023-07-01,7.7
2023-10-01,7.4
2024-01-01,7.9
2024-04-01,6.9
2024-07-01,6.4
2024-10-01,6.2
2025-01-01,7.0
