data,valor
1996-01-01,170920.0
1996-02-01,176708.75
1996-03-01,189844.26
1996-04-01,184112.94
1997-01-01,176732.25
1997-02-01,185109.48
1997-03-01,193244.9
1997-04-01,190996.04
1998-01-01,178512.96
1998-02-01,187904.0
1998-03-01,193932.08
1998-04-01,188256.13
1999-01-01,179883.35
1999-02-01,187150.99
1999-03-01,192737.0
1999-04-01,192336.83
2000-01-01,187799.48
2000-02-01,194596.62
2000-03-01,201534.66
2000-04-01,201179.53
2001-01-01,194325.69
2001-02-01,199123.05
2001-03-01,202464.13
2001-04-01,200109.66
2002-01-01,195252.46
2002-02-01,203699.3
2002-03-01,210916.41
2002-04-01,210460.59
2003-01-01,200459.9
2003-02-01,205290.68
2003-03-01,212237.13
2003-04-01,211699.59
2004-01-01,208233.9
2004-02-01,218240.94
2004-03-01,226157.35
2004-04-01,224844.8
2005-01-01,216947.08
2005-02-01,228007.17
2005-03-01,230940.53
2005-04-01,229680.21
2006-01-01,226230.46
2006-02-01,233213.26
2006-03-01,241316.2
2006-04-01,240693.87
2007-01-01,237982.43
2007-02-01,248459.01
2007-03-01,255482.07
2007-04-01,256675.3
2008-01-01,252635.97
2008-02-01,264201.68
2008-03-01,273316.79
2008-04-01,259314.94
2009-01-01,246506.89
2009-02-01,258381.35
2009-03-01,270139.07
2009-04-01,273121.71
2010-01-01,269207.94
2010-02-01,280389.6
2010-03-01,288798.01
2010-04-01,288660.51
2011-01-01,283193.6
2011-02-01,293569.31
2011-03-01,299013.79
2011-04-01,296073.32
2012-01-01,288028.3
2012-02-01,296465.31
2012-03-01,306445.54
2012-04-01,303424.17
2013-01-01,295865.83
2013-02-01,308388.67
2013-03-01,314900.22
2013-04-01,311097.1
2014-01-01,306130.51
2014-02-01,307046.34
2014-03-01,312888.66
2014-04-01,310386.25
2015-01-01,301173.01
2015-02-01,298632.12
2015-03-01,299550.71
2015-04-01,293254.26
2016-01-01,285698.02
2016-02-01,289020.65
2016-03-01,292199.17
2016-04-01,286623.34
2017-01-01,286503.68
2017-02-01,291296.6
2017-03-01,296993.3
2017-04-01,294007.44
2018-01-01,291961.51
2018-02-01,296007.16
2018-03-01,303101.87
2018-04-01,298578.0
2019-01-01,294593.02
2019-02-01,299477.97
2019-03-01,306464.95
2019-04-01,303635.56
2020-01-01,295812.57
2020-02-01,269117.78
2020-03-01,297161.63
2020-04-01,302621.73
2021-01-01,300988.64
2021-02-01,302479.09
2021-03-01,309680.93
2021-04-01,307035.75
2022-01-01,305423.35
2022-02-01,313198.51
2022-03-01,323064.76
2022-04-01,315307.04
2023-01-01,318997.4
2023-02-01,325257.49
2023-03-01,330673.02
2023-04-01,322813.14
2024-01-01,327162.91
2024-02-01,336102.42
2024-03-01,344057.15
2024-04-01,334488.12
