data,valor
1996-01-01,175460.81
1996-04-01,177538.54
1996-07-01,184099.95
1996-10-01,182345.29
1997-01-01,184307.51
1997-04-01,185219.62
1997-07-01,187556.54
1997-10-01,189130.31
1998-01-01,185412.91
1998-04-01,188569.94
1998-07-01,188512.16
1998-10-01,186346.51
1999-01-01,186718.37
1999-04-01,187690.54
1999-07-01,187666.89
1999-10-01,190325.77
2000-01-01,192360.08
2000-04-01,195079.24
2000-07-01,197417.66
2000-10-01,199837.23
2001-01-01,200476.25
2001-04-01,199562.44
2001-07-01,198557.35
2001-10-01,197923.06
2002-01-01,202851.6
2002-04-01,203352.54
2002-07-01,206143.1
2002-10-01,208233.24
2003-01-01,207333.52
2003-04-01,205620.91
2003-07-01,207509.96
2003-10-01,209655.04
2004-01-01,212541.66
2004-04-01,218492.7
2004-07-01,221204.13
2004-10-01,222876.34
2005-01-01,224829.81
2005-04-01,227324.52
2005-07-01,225929.75
2005-10-01,228840.39
2006-01-01,232444.85
2006-04-01,233289.34
2006-07-01,237164.09
2006-10-01,239942.07
2007-01-01,244341.95
2007-04-01,248562.18
2007-07-01,251125.23
2007-10-01,254870.1
2008-01-01,258079.88
2008-04-01,263373.5
2008-07-01,267616.04
2008-10-01,257521.58
2009-01-01,253856.45
2009-04-01,258528.17
2009-07-01,264556.65
2009-10-01,271365.11
2010-01-01,276999.01
2010-04-01,280521.84
2010-07-01,282987.01
2010-10-01,287019.77
2011-01-01,290874.24
2011-04-01,293843.46
2011-07-01,293176.81
2011-10-01,295911.72
2012-01-01,291563.31
2012-04-01,296911.41
2012-07-01,302089.81
2012-10-01,302088.84
2013-01-01,303619.46
2013-04-01,307966.0
2013-07-01,309379.68
2013-10-01,309861.5
2014-01-01,312400.04
2014-04-01,307889.39
2014-07-01,307689.97
2014-10-01,309291.14
2015-01-01,306788.89
2015-04-01,299636.42
2015-07-01,294680.62
2015-10-01,292407.83
2016-01-01,288149.09
2016-04-01,289052.9
2016-07-01,287445.07
2016-10-01,287182.98
2017-01-01,290037.94
2017-04-01,292513.41
2017-07-01,293230.47
2017-10-01,294804.66
2018-01-01,296507.29
2018-04-01,296247.68
2018-07-01,299115.79
2018-10-01,298290.94
2019-01-01,299242.43
2019-04-01,300908.62
2019-07-01,300964.6
2019-10-01,303615.88
2020-01-01,296695.37
2020-04-01,270325.66
2020-07-01,291730.2
2020-10-01,302930.99
2021-01-01,305644.71
2021-04-01,303483.91
2021-07-01,303894.35
2021-10-01,307898.26
2022-01-01,310181.38
2022-04-01,313709.05
2022-07-01,316910.02
2022-10-01,318173.56
2023-01-01,322667.37
2023-04-01,325253.64
2023-07-01,325532.65
2023-10-01,326422.28
2024-01-01,329554.51
2024-04-01,334411.45
2024-07-01,337085.81
2024-10-01,337264.88
2025-01-01,341973.99
