data,valor
1996-01-01,854764
1997-01-01,952089
1998-01-01,1002351
1999-01-01,1087710
2000-01-01,1199092
2001-01-01,1315755
2002-01-01,1488787
2003-01-01,1717950
2004-01-01,1957751
2005-01-01,2170585
2006-01-01,2409450
2007-01-01,2720263
2008-01-01,3109803
2009-01-01,3333039
2010-01-01,3885847
2011-01-01,4376382
2012-01-01,4814760
2013-01-01,5331619
2014-01-01,5778953
2015-01-01,5995787
2016-01-01,6269328
2017-01-01,6592743
2018-01-01,6996861
2019-01-01,7394332
2020-01-01,7609597
2021-01-01,9012142
2022-01-01,10079677
