data,valor
1996-01-01,721586
1997-01-01,883782
1998-01-01,955308
1999-01-01,1007041
2000-01-01,1135439
2001-01-01,1215758
2002-01-01,1355932
2003-01-01,1505772
2004-01-01,1816904
2005-01-01,2020441
2006-01-01,2256583
2007-01-01,2555700
2008-01-01,2858838
2009-01-01,3105891
2010-01-01,3583958
2011-01-01,4040287
2012-01-01,4460460
2013-01-01,4959435
2014-01-01,5358488
2015-01-01,5574045
2016-01-01,5799370
2017-01-01,6349479
2018-01-01,6702942
2019-01-01,7086549
2020-01-01,7147007
2021-01-01,7972012
2022-01-01,9284011
