data,valor
1996-01-01,96.84
1996-04-01,100.12
1996-07-01,107.56
1996-10-01,104.31
1997-01-01,100.13
1997-04-01,104.88
1997-07-01,109.49
1997-10-01,108.21
1998-01-01,101.14
1998-04-01,106.46
1998-07-01,109.88
1998-10-01,106.66
1999-01-01,101.92
1999-04-01,106.04
1999-07-01,109.2
1999-10-01,108.97
2000-01-01,106.4
2000-04-01,110.25
2000-07-01,114.19
2000-10-01,113.98
2001-01-01,110.1
2001-04-01,112.82
2001-07-01,114.71
2001-10-01,113.38
2002-01-01,110.63
2002-04-01,115.41
2002-07-01,119.5
2002-10-01,119.24
2003-01-01,113.58
2003-04-01,116.31
2003-07-01,120.25
2003-10-01,119.94
2004-01-01,117.98
2004-04-01,123.65
2004-07-01,128.14
2004-10-01,127.39
2005-01-01,122.92
2005-04-01,129.18
2005-07-01,130.85
2005-10-01,130.13
2006-01-01,128.18
2006-04-01,132.13
2006-07-01,136.72
2006-10-01,136.37
2007-01-01,134.84
2007-04-01,140.77
2007-07-01,144.75
2007-10-01,145.43
2008-01-01,143.14
2008-04-01,149.69
2008-07-01,154.86
2008-10-01,146.92
2009-01-01,139.67
2009-04-01,146.39
2009-07-01,153.06
2009-10-01,154.75
2010-01-01,152.53
2010-04-01,158.86
2010-07-01,163.63
2010-10-01,163.55
2011-01-01,160.45
2011-04-01,166.33
2011-07-01,169.41
2011-10-01,167.75
2012-01-01,163.19
2012-04-01,167.97
2012-07-01,173.63
2012-10-01,171.91
2013-01-01,167.63
2013-04-01,174.73
2013-07-01,178.42
2013-10-01,176.26
2014-01-01,173.45
2014-04-01,173.97
2014-07-01,177.28
2014-10-01,175.86
2015-01-01,170.64
2015-04-01,169.2
2015-07-01,169.72
2015-10-01,166.15
2016-01-01,161.87
2016-04-01,163.75
2016-07-01,165.55
2016-10-01,162.39
2017-01-01,162.33
2017-04-01,165.04
2017-07-01,168.27
2017-10-01,166.58
2018-01-01,165.42
2018-04-01,167.71
2018-07-01,171.73
2018-10-01,169.17
2019-01-01,166.91
2019-04-01,169.68
2019-07-01,173.64
2019-10-01,172.03
2020-01-01,167.6
2020-04-01,152.48
2020-07-01,168.37
2020-10-01,171.46
2021-01-01,170.53
2021-04-01,171.38
2021-07-01,175.46
2021-10-01,173.96
2022-01-01,173.05
2022-04-01,177.45
2022-07-01,183.04
2022-10-01,178.65
2023-01-01,180.74
2023-04-01,184.28
2023-07-01,187.35
2023-10-01,182.9
2024-01-01,185.36
2024-04-01,190.43
2024-07-01,194.94
2024-10-01,189.51
